model,method,forget_split,stage,ES,dES,U
LLaMA-3.2-3B,RMU,forget05,forget_retain,0.7326,+0.6784,0.6634
LLaMA-3.2-3B,RMU,forget10,pure,0.0336,,0.6667
LLaMA-3.2-3B,RMU,forget10,retain,0.0576,+0.0240,0.6652
LLaMA-3.2-3B,RMU,forget10,forget,0.0748,+0.0412,0.6641
LLaMA-3.2-3B,RMU,forget10,forget_retain,0.8099,+0.7763,0.6686
LLaMA-3.2-3B,SP,forget01,pure,0.1233,,0.5884
LLaMA-3.2-3B,SP,forget01,retain,0.2143,+0.0910,0.6175
LLaMA-3.2-3B,SP,forget01,forget,0.3510,+0.2276,0.5921
LLaMA-3.2-3B,SP,forget01,forget_retain,0.3297,+0.2064,0.6196
LLaMA-3.2-3B,SP,forget05,pure,0.2188,,0.5904
LLaMA-3.2-3B,SP,forget05,retain,0.3409,+0.1221,0.6108
LLaMA-3.2-3B,SP,forget05,forget,0.4861,+0.2673,0.5999
LLaMA-3.2-3B,SP,forget05,forget_retain,0.4939,+0.2751,0.6184
LLaMA-3.2-3B,SP,forget10,pure,0.2174,,0.5871
LLaMA-3.2-3B,SP,forget10,retain,0.3405,+0.1231,0.6120
LLaMA-3.2-3B,SP,forget10,forget,0.4556,+0.2382,0.6000
LLaMA-3.2-3B,SP,forget10,forget_retain,0.5069,+0.2895,0.6166
LLaMA-3.2-3B,FRP,forget01,pure,0.0460,,0.4582
LLaMA-3.2-3B,FRP,forget01,retain,0.0560,+0.0100,0.5396
LLaMA-3.2-3B,FRP,forget01,forget,0.0645,+0.0185,0.4731
LLaMA-3.2-3B,FRP,forget01,forget_retain,0.0825,+0.0365,0.5447
LLaMA-3.2-3B,FRP,forget05,pure,0.0776,,0.5120
LLaMA-3.2-3B,FRP,forget05,retain,0.1161,+0.0386,0.5787
LLaMA-3.2-3B,FRP,forget05,forget,0.1315,+0.0539,0.5388
LLaMA-3.2-3B,FRP,forget05,forget_retain,0.1827,+0.1051,0.5754
LLaMA-3.2-3B,FRP,forget10,pure,0.0808,,0.5276
LLaMA-3.2-3B,FRP,forget10,retain,0.1166,+0.0358,0.5883
LLaMA-3.2-3B,FRP,forget10,forget,0.1253,+0.0445,0.5528
LLaMA-3.2-3B,FRP,forget10,forget_retain,0.1750,+0.0941,0.5894
LLaMA-3.2-3B,FRP-RV(p=0.05),forget01,pure,0.0646,,0.5195
